date,aud,zar,cad,chf
2005-01-04,,,,
2005-01-05,,,,
2005-01-06,,,,
2005-01-07,,,,
2005-01-10,,,,
2005-01-11,,,,
2005-01-12,,,,
2005-01-13,,,,
2005-01-14,,,,
2005-01-18,,,,
2005-01-19,,,,
2005-01-20,,,,
2005-01-21,,,,
2005-01-24,,,,
2005-01-25,,,,
2005-01-26,,,,
2005-01-27,,,,
2005-01-28,,,,
2005-01-31,,,,
2005-02-01,,,,
2005-02-02,,,,
2005-02-03,,,,
2005-02-04,,,,
2005-02-07,,,,
2005-02-08,,,,
2005-02-09,,,,
2005-02-10,,,,
2005-02-11,,,,
2005-02-14,,,,
2005-02-15,,,,
2005-02-16,,,,
2005-02-17,,,,
2005-02-18,,,,
2005-02-22,,,,
2005-02-23,,,,
2005-02-24,,,,
2005-02-25,,,,
2005-02-28,,,,
2005-03-01,,,,
2005-03-02,,,,
2005-03-03,,,,
2005-03-04,,,,
2005-03-07,,,,
2005-03-08,,,,
2005-03-09,,,,
2005-03-10,,,,
2005-03-11,,,,
2005-03-14,,,,
2005-03-15,,,,
2005-03-16,,,,
2005-03-17,,,,
2005-03-18,,,,
2005-03-21,,,,
2005-03-22,,,,
2005-03-23,,,,
2005-03-24,,,,
2005-03-29,,,,
2005-03-30,,,,
2005-03-31,,,,
2005-04-01,,,,
2005-04-04,,,,
2005-04-05,,,,
2005-04-06,,,,
2005-04-07,,,,
2005-04-08,,,,
2005-04-11,,,,
2005-04-12,,,,
2005-04-13,,,,
2005-04-14,,,,
2005-04-15,,,,
2005-04-18,,,,
2005-04-19,,,,
2005-04-20,,,,
2005-04-21,,,,
2005-04-22,,,,
2005-04-25,,,,
2005-04-26,,,,
2005-04-27,,,,
2005-04-28,,,,
2005-04-29,,,,
2005-05-03,,,,
2005-05-04,,,,
2005-05-05,,,,
2005-05-06,,,,
2005-05-09,,,,
2005-05-10,,,,
2005-05-11,,,,
2005-05-12,,,,
2005-05-13,,,,
2005-05-16,,,,
2005-05-17,,,,
2005-05-18,,,,
2005-05-19,,,,
2005-05-20,,,,
2005-05-23,,,,
2005-05-24,,,,
2005-05-25,,,,
2005-05-26,,,,
2005-05-27,,,,
2005-05-31,,,,
2005-06-01,,,,
2005-06-02,,,,
2005-06-03,,,,
2005-06-06,,,,
2005-06-07,,,,
2005-06-08,,,,
2005-06-09,,,,
2005-06-10,,,,
2005-06-13,,,,
2005-06-14,,,,
2005-06-15,,,,
2005-06-16,,,,
2005-06-17,,,,
2005-06-20,,,,
2005-06-21,,,,
2005-06-22,,,,
2005-06-23,,,,
2005-06-24,,,,
2005-06-27,,,,
2005-06-28,,,,
2005-06-29,,,,
2005-06-30,,,,
2005-07-01,,,,
2005-07-05,,,,
2005-07-06,,,,
2005-07-07,,,,
2005-07-08,,,,
2005-07-11,,,,
2005-07-12,,,,
2005-07-13,,,,
2005-07-14,,,,
2005-07-15,,,,
2005-07-18,,,,
2005-07-19,,,,
2005-07-20,,,,
2005-07-21,,,,
2005-07-22,,,,
2005-07-25,,,,
2005-07-26,,,,
2005-07-27,,,,
2005-07-28,,,,
2005-07-29,,,,
2005-08-01,,,,
2005-08-02,,,,
2005-08-03,,,,
2005-08-04,,,,
2005-08-05,,,,
2005-08-08,,,,
2005-08-09,,,,
2005-08-10,,,,
2005-08-11,,,,
2005-08-12,,,,
2005-08-15,,,,
2005-08-16,,,,
2005-08-17,,,,
2005-08-18,,,,
2005-08-19,,,,
2005-08-22,,,,
2005-08-23,,,,
2005-08-24,,,,
2005-08-25,,,,
2005-08-26,,,,
2005-08-30,,,,
2005-08-31,,,,
2005-09-01,,,,
2005-09-02,,,,
2005-09-06,,,,
2005-09-07,,,,
2005-09-08,,,,
2005-09-09,,,,
2005-09-12,,,,
2005-09-13,,,,
2005-09-14,,,,
2005-09-15,,,,
2005-09-16,,,,
2005-09-19,,,,
2005-09-20,,,,
2005-09-21,,,,
2005-09-22,,,,
2005-09-23,,,,
2005-09-26,,,,
2005-09-27,,,,
2005-09-28,,,,
2005-09-29,,,,
2005-09-30,,,,
2005-10-03,,,,
2005-10-04,,,,
2005-10-05,,,,
2005-10-06,,,,
2005-10-07,,,,
2005-10-11,,,,
2005-10-12,,,,
2005-10-13,,,,
2005-10-14,,,,
2005-10-17,,,,
2005-10-18,,,,
2005-10-19,,,,
2005-10-20,,,,
2005-10-21,,,,
2005-10-24,,,,
2005-10-25,,,,
2005-10-26,,,,
2005-10-27,,,,
2005-10-28,,,,
2005-10-31,,,,
2005-11-01,,,,
2005-11-02,,,,
2005-11-03,,,,
2005-11-04,,,,
2005-11-07,,,,
2005-11-08,,,,
2005-11-09,,,,
2005-11-10,,,,
2005-11-14,,,,
2005-11-15,,,,
2005-11-16,,,,
2005-11-17,,,,
2005-11-18,,,,
2005-11-21,,,,
2005-11-22,,,,
2005-11-23,,,,
2005-11-25,,,,
2005-11-28,,,,
2005-11-29,,,,
2005-11-30,,,,
2005-12-01,,,,
2005-12-02,,,,
2005-12-05,,,,
2005-12-06,,,,
2005-12-07,,,,
2005-12-08,,,,
2005-12-09,,,,
2005-12-12,,,,
2005-12-13,,,,
2005-12-14,,,,
2005-12-15,,,,
2005-12-16,,,,
2005-12-19,,,,
2005-12-20,,,,
2005-12-21,,,,
2005-12-22,,,,
2005-12-28,,,,
2005-12-29,,,,
2006-01-03,,,,
2006-01-04,,,,
2006-01-05,,,,
2006-01-06,,,,
2006-01-09,,,,
2006-01-10,,,,
2006-01-11,0.7858405164136246,0.41368220542508705,0.9148649063525628,0.3132521124859881
2006-01-12,0.7803668300986065,0.42768843326130884,0.9113026395342189,0.31354692615029184
2006-01-13,0.775542445350856,0.4415790675799019,0.9073230204902438,0.3157224415541665
2006-01-17,0.7730880115782545,0.4530097526902413,0.9033937076142862,0.32263630935966153
2006-01-18,0.7696982973045962,0.46273912124178856,0.8994664547090516,0.3258071660757231
2006-01-19,0.7633753172212532,0.47577443646957307,0.8951157651544839,0.3279240495078911
2006-01-20,0.7566060354918429,0.48892397666211485,0.8911395319141127,0.329400409027117
2006-01-23,0.7540148006888647,0.498834526475626,0.8886519616186808,0.3350229066872657
2006-01-24,0.7500953949211479,0.5067957514247894,0.8856023776567389,0.3396313842286906
2006-01-25,0.7523732392645152,0.5156594305085715,0.8833304008823566,0.34504932555279005
2006-01-26,0.757089278955756,0.5228218145116414,0.8816681310363128,0.3499556225088864
2006-01-27,0.7627234900023832,0.5309679977572227,0.8805422004065987,0.35490019890865443
2006-01-30,0.7664954448314262,0.5391814199493131,0.8797176281440414,0.3593420614259729
2006-01-31,0.7693833724051494,0.5489870849195227,0.8783467963236752,0.3637192286042829
2006-02-01,0.7748493640961764,0.5587445025178454,0.8780406456837853,0.36913518506221094
2006-02-02,0.7796429507097359,0.5702583497349987,0.8775697877114015,0.37629329933994476
2006-02-03,0.7833580455229692,0.5815160476283324,0.8773264589020944,0.38234051867289254
2006-02-06,0.7845186317423432,0.5928205207677139,0.8772460992755243,0.3863074395946489
2006-02-07,0.7851527394798359,0.6014543405199761,0.8774072122043113,0.3884532980400606
2006-02-08,0.7854441306330743,0.6099816488824692,0.8776812644057258,0.3912182673787124
2006-02-09,0.7853586524666895,0.6183360729619614,0.8779169345966713,0.39412194830150243
2006-02-10,0.7825660097924848,0.6255269107236673,0.8773912570757032,0.392985161685364
2006-02-13,0.7808013901296879,0.6305974536324132,0.8770511603387608,0.3910225843344677
2006-02-14,0.7793286604325891,0.6345038397221024,0.8770013776114558,0.3867292914499689
2006-02-15,0.7785622196826998,0.6386700681150453,0.877134626360352,0.3833724946952092
2006-02-16,0.7769965485002163,0.642918054172839,0.8770431865613127,0.3804732164314596
2006-02-17,0.7756908689435595,0.6484537310406228,0.8769785560323058,0.3793832417930878
2006-02-21,0.7759965241418368,0.655534018744966,0.8773357137817513,0.38136105117394287
2006-02-22,0.7751392599653474,0.6629334143938956,0.8775858117466429,0.3815733463635864
2006-02-23,0.7723438809653524,0.6686581654180721,0.8773311750183503,0.37873670638237245
2006-02-24,0.7687004057153709,0.6746949149256313,0.8768581794347521,0.37279930822363017
2006-02-27,0.7627510255811915,0.6802733913865968,0.8767323940083979,0.3652263398017471
2006-02-28,0.7587081185543111,0.6872051251095233,0.8766490401642294,0.361556236033723
2006-03-01,0.7550019939566037,0.6938978183902028,0.8764957272674737,0.35746899998265863
2006-03-02,0.7518926139386803,0.7038456570934164,0.8768223460076139,0.35836864452270256
2006-03-03,0.7488470869371384,0.7126967477175903,0.8772889864360217,0.36375789431422634
2006-03-06,0.7470310410648842,0.7214777609683182,0.8779838243009928,0.37131566873956695
2006-03-07,0.7437502567723793,0.7296851743946625,0.8787746341494365,0.37649081616336005
2006-03-08,0.7407652453624952,0.7375501705948388,0.8791972155702783,0.38337185487064235
2006-03-09,0.7387351071705989,0.7447047026576081,0.8796982384062392,0.3877720563268271
2006-03-10,0.7378566401805208,0.7515361669598524,0.8804846560600469,0.39201905386752656
2006-03-13,0.7369543429434915,0.7578230697073062,0.8811908190125938,0.397319925591451
2006-03-14,0.7344032971917802,0.7650490217942694,0.8814982142069155,0.4028481397318262
2006-03-15,0.7323255864711743,0.7731217085039674,0.8812841484654451,0.40830676758728374
2006-03-16,0.7289477374026815,0.7826919169327743,0.8811660500771678,0.41684489487785836
2006-03-17,0.7187630029905265,0.7900450178033225,0.8803212798343507,0.4214090379298334
2006-03-20,0.7052101434931095,0.7947738302992661,0.8792593091101273,0.42906707739004407
2006-03-21,0.6923423704856266,0.8005017549193487,0.8789264025766127,0.43704933050283873
2006-03-22,0.6804850019230267,0.802556415510667,0.8782406461475204,0.4438412280290234
2006-03-23,0.6683484904476175,0.8037990049777836,0.8779093196000141,0.44760420854193045
2006-03-24,0.6518468176695039,0.8050148972957858,0.8770951624632345,0.4549600944021537
2006-03-27,0.6264770563733533,0.8055379299317762,0.8752119526739689,0.46056898070803387
